col1,FieldID,ra,dec,mtot_all,ntns,mtot,sfrtot,ngal,lum,BGLT_orig,mindist,selected
10845,10846,241.08598,16.23506,3.5020316717555E12,1.2160426251180412,2.022440566784E12,88.36715698242188,80.0,2.9005108432052566E-5,true,67.877,true
10909,10910,345.33939,16.23506,3.5646220064E11,0.4053475417060137,4.22060982272E11,40.65595245361328,13.0,1.0916956664666016E-4,false,23.9229,true
11000,11001,135.61644,17.80891,7.352543339365E11,0.0,7.55267141632E11,35.23759460449219,22.0,3.1194881007816084E-5,false,48.8171,true
11002,11003,138.90411,17.80891,2.058506653952E12,1.2116901830168803,1.072337125376E12,48.139244079589844,29.0,2.6694015097676915E-5,true,109.0655,true
11064,11065,240.82191,17.80891,3.074038936064E12,1.2116901830168803,1.62272772096E12,105.40791320800781,55.0,3.0291777631625968E-5,true,62.1772,true
11220,11221,137.69586,19.38277,1.224196876416E12,0.4030174951595529,9.84181374976E11,31.64957618713379,24.0,2.319135576137321E-5,true,58.4749,true
11221,11222,139.35484,19.38277,1.9187049969555E12,0.4030174951595529,8.84339638272E11,45.13948059082031,36.0,2.0867645897549924E-5,true,103.276,true
11353,11354,358.34103,19.38277,6.1015735552E10,0.0,5.25047693312E11,63.703956604003906,5.0,7.939193162434502E-5,false,58.3445,true
11428,11429,124.74419,20.95662,8.34796625312E11,0.4027116603657494,9.20150867968E11,38.19260025024414,30.0,8.890394303471694E-5,false,53.2108,true
11429,11430,126.4186,20.95662,7.6160009408E11,0.8054233207314988,9.5674171392E11,45.855594635009766,36.0,5.7671900465773056E-5,false,57.2101,true
11439,11440,143.16278,20.95662,1.98707752768E11,0.0,2.6672881664E11,14.372978210449219,8.0,3.200006778500483E-4,false,9.4324,true
11469,11470,193.39534,20.95662,9.568649984E9,0.0,3.5104493568E10,0.6858276724815369,2.0,2.2517324300221754E-6,false,4.6932,true
11497,11498,240.27905,20.95662,4.99660698112E11,0.0,4.8213082112E11,27.61202049255371,15.0,3.934924397987503E-5,false,51.4438,true
11572,11573,5.07042,22.53047,1.730277389056E12,0.8059658115581034,4.8502734848E11,33.28086853027344,24.0,4.4485022933365824E-5,false,64.2803,true
11591,11592,37.1831,22.53047,2.647611796992E12,0.0,8.8234491904E11,90.80807495117188,20.0,2.8295846148754212E-5,true,74.3141,true
11652,11653,140.28169,22.53047,2.4181871568E12,0.4029829057790517,1.53094586368E12,98.95872497558594,39.0,2.5546211524837314E-5,false,109.4438,true
11803,11804,36.68246,24.10432,1.691930422272E12,0.0,1.3090455552E12,77.85763549804688,22.0,2.9555419884183423E-5,false,75.9371,true
12014,12015,36.34615,25.67818,2.306754314752E12,0.8105625084489153,1.455345893376E12,95.42784881591797,27.0,4.2030467468199935E-5,false,52.767,true
12064,12065,122.88462,25.67818,5.11876320352E11,0.40528125422445765,4.2303488E11,33.155242919921875,17.0,4.489299892281194E-5,false,56.127,true
12068,12069,129.80769,25.67818,1.032845654259E12,0.0,9.33982502912E11,51.92047119140625,23.0,2.704129161312481E-5,true,55.2077,true
12192,12193,344.4231,25.67818,1.768273425408E12,0.0,8.80468361216E11,49.31121826171875,27.0,3.6295012141339025E-5,false,99.1685,true
12195,12196,349.61539,25.67818,6.81910556224E11,0.0,9.88239822848E11,129.14183044433594,18.0,3.992663179663428E-5,false,63.859,true
