col1,FieldID,ra,dec,mtot_all,ntns,mtot,sfrtot,ngal,flux,mindist,BGLT_orig,score,selected
2406,2407,288.0,-46.71905,7.23075542784E11,0.0,5.91051620352E11,11.410689353942871,13.0,2.9793442761872817E-5,62.2477,false,2.6848138437178566,true
2426,2427,333.0,-46.71905,3.97472746304E11,0.0,3.66508834816E11,3.779667377471924,8.0,1.0345672409061797E-4,21.7002,false,3.407161228290054,true
2576,2577,304.02441,-45.1452,1.067995652384E12,0.0,1.102755397632E12,46.1806640625,24.0,6.104608406567418E-5,34.0639,false,4.267046201627247,true
2675,2676,156.42857,-43.57134,2.80618994688E11,1.7803443288164598,3.58308184064E11,68.91661071777344,6.0,6.475783448460098E-5,35.3227,false,2.6387900222692284,true
2693,2694,195.0,-43.57134,1.039206575104E12,0.8901721644082299,6.93853028352E11,19.185653686523438,14.0,2.910676565393338E-5,40.8673,false,2.7935084326917714,true
2696,2697,201.42856,-43.57134,4.09613248512E11,0.0,5.69658310656E11,5.296778678894043,10.0,0.0014722008151596476,3.5216,false,6.675532072279032,true
2704,2705,218.57143,-43.57134,1.66474029312E11,2.6705164932246896,1.6602456064E11,13.79716968536377,5.0,1.262652722179401E-4,16.9044,false,2.8713221467258254,true
2746,2747,308.57141,-43.57134,8.38778895872E11,0.0,8.78012792832E11,44.08376693725586,13.0,2.424374972251957E-5,76.2584,false,2.6328870282618837,true
2764,2765,347.14285,-43.57134,4.87551591552E11,0.8901721644082299,3.59183417344E11,15.453102111816406,9.0,5.0855840460488464E-5,11.7106,false,2.729653386984719,true
2862,2863,192.48555,-41.99749,6.96976985848E11,0.0,9.99194886144E11,34.78896713256836,31.0,4.5729548225253994E-5,34.6754,false,4.132865867550347,true
2938,2939,350.63583,-41.99749,1.7454020608E11,0.0,2.63133331456E11,29.828323364257812,5.0,1.188637542322333E-4,20.9642,false,3.0057394805127817,true
3020,3021,156.61017,-40.42364,5.96705288448E11,0.855186793661691,3.93149284352E11,16.907470703125,9.0,4.297129660729558E-5,31.9048,false,2.5859886538279895,true
3036,3037,189.15254,-40.42364,3.2203587168E11,0.855186793661691,3.70705432576E11,19.676570892333984,12.0,5.6871135897168544E-5,28.8563,false,3.114621199072303,true
3037,3038,191.18645,-40.42364,1.003745092096E12,0.0,5.3330444288E11,12.488202095031738,23.0,5.274362100909735E-5,33.7852,false,3.7558557290522963,true
3038,3039,193.22034,-40.42364,3.373185984E11,0.855186793661691,4.58433626112E11,12.599556922912598,17.0,4.03329265276519E-5,36.7801,false,3.136323646492004,true
3112,3113,343.72882,-40.42364,9.76023692448E11,0.855186793661691,4.72752848896E11,27.055316925048828,9.0,8.77371056925002E-5,11.4815,false,3.441077432595808,true
3121,3122,2.98343,-38.84978,6.128089088E9,0.0,2.0189331456E10,3.935772657394409,3.0,2.891138137113902E-6,113.4985,false,-2.5879634461464267,true
3313,3314,23.47826,-37.27593,1.17017333248E12,0.817705804639942,1.403962261504E12,62.41349411010742,17.0,3.1809198833742893E-5,66.464,false,3.3646351039602624,true
3327,3328,50.86956,-37.27593,4.8933801472E11,0.0,2.1208948736E11,5.57594633102417,6.0,1.1455447268731597E-4,21.9875,false,3.030351769480596,true
3340,3341,76.30435,-37.27593,6.6204448144E10,0.0,6.5991389184E10,7.289580345153809,2.0,1.91506861526237E-4,9.4689,false,2.1270081095681004,true
3472,3473,334.56522,-37.27593,4.2477388992E11,1.635411609279884,5.01534359552E11,44.73539352416992,8.0,4.395304122345791E-5,42.6301,false,2.6139529913750614,true
3477,3478,344.34784,-37.27593,4.8201161248E11,3.270823218559768,2.07361376256E11,8.166718482971191,7.0,9.136451984592408E-5,15.093,false,2.908867887103616,true
3499,3500,27.76596,-35.70208,1.032524994524E12,0.7983597157375337,8.91793506304E11,18.848175048828125,22.0,2.341488287996046E-5,66.4297,false,3.0588396418169665,true
3512,3513,52.65958,-35.70208,1.737740624E11,0.0,3.34200406016E11,35.15915298461914,5.0,2.9714303325785425E-4,18.1534,false,4.104360862729971,true
3513,3514,54.57447,-35.70208,3.88592423744E11,0.0,5.115992064E10,1.9276580810546875,2.0,5.927344953157731E-5,15.9129,false,0.7431403598791757,true
3669,3670,353.29788,-35.70208,1.25447753984E11,0.0,1.21492267008E11,0.21156658232212067,3.0,2.3577060796538984E-6,141.906,false,-2.0299846961741554,true
3684,3685,20.625,-34.12823,5.63684815936E11,0.0,6.70424694784E11,29.173908233642578,23.0,3.892838139402278E-5,44.9187,false,3.5254715413186464,true
3687,3688,26.25,-34.12823,8.19279681792E11,0.0,8.22145056768E11,28.326921463012695,17.0,2.2771109791555275E-5,50.4544,false,2.7693067858128586,true
3719,3720,86.25,-34.12823,4.73224342528E11,0.7787859704243641,5.16247322624E11,5.16656494140625,10.0,5.878174926730387E-5,12.1767,false,3.1359640772195885,true
3722,3723,91.875,-34.12823,7.85149271904E11,1.5575719408487283,8.48324395008E11,44.51151657104492,19.0,1.8812564830399238E-5,63.2118,false,2.672189181892925,true
3782,3783,204.375,-34.12823,1.6411996864E11,0.0,6.2246289408E11,40.41465759277344,12.0,3.727951544272695E-5,22.2807,false,2.881151606659639,true
3849,3850,330.0,-34.12823,3.986533220385E11,0.0,4.08462688256E11,23.8543643951416,10.0,4.291877109391778E-5,36.7197,false,2.6927705867540688,true
3856,3857,343.125,-34.12823,9.8416016872E11,0.7787859704243641,6.33627017216E11,41.91390609741211,21.0,2.079712247847723E-5,112.0736,false,2.741280400006719,true
